hotel_id,direction,description,attributes,latitude,longitude,scores
31639,"761 Morosgo Drive Northeast, Atlanta, GA 30324, Estados Unidos",,"['Parking gratis', 'Cafetera', 'Piscina al aire libre', 'WiFi gratis', 'Terraza', 'Mesa de comedor']",33.8224719,-84.362502,"[{'Personal': '7.5'}, {'Instalaciones y servicios': '8.3'}, {'Limpieza': '9.2'}, {'Confort': '9.2'}, {'Relación calidad-precio': '10'}, {'Ubicación': '9.2'}]"
31780,"210 Peachtree Street NorthWest, Atlanta, GA 30303, Estados Unidos",,"['Desayuno', 'Bar', 'Habitaciones sin humo', 'WiFi', 'Servicio de habitaciones', 'Piscina interior', 'Habitaciones familiares', 'Parking privado', '2 restaurantes', 'Gimnasio']",33.75947939,-84.38765466,
31802,"215 Piedmont Avenue Northeast, Atlanta, GA 30308, Estados Unidos","El Heart ATL Downtown High Rise 2B2B Condo LM2206 ofrece aire acondicionado y se encuentra en Atlanta, a 1,4 km del acuario de Georgia y a 1,5 km del Centro Nacional de Derechos Civiles y Humanos. Hay aparcamiento privado y WiFi gratuita en todas las instalaciones. El establecimiento se encuentra a 1,2 km del NEW World of Coca-Cola y a 400 metros del centro de la ciudad.

El apartamento es amplio y cuenta con 2 dormitorios, TV de pantalla plana, cocina totalmente equipada con horno y microondas, lavadora y 2 baños con bañera. Se proporcionan toallas y ropa de cama. Este alojamiento es para no fumadores.

Cerca del apartamento hay varios lugares de interés, como el parque olímpico Centennial, el teatro FOX y el salón de la fama del fútbol universitario. El aeropuerto más cercano es el aeropuerto internacional Hartsfield-Jackson de Atlanta, ubicado a 14 km del Heart ATL Downtown High Rise 2B2B Condo LM2206.","['Habitaciones sin humo', 'Secadora de ropa', 'WiFi gratis', 'Parking adaptado para personas de movilidad reducida', 'Horno', 'Parking privado', 'Fogones']",33.7601459,-84.3815974,"[{'Personal': '8.1'}, {'Instalaciones y servicios': '8.1'}, {'Limpieza': '8.0'}, {'Confort': '8.2'}, {'Relación calidad-precio': '8.3'}, {'Ubicación': '8.8'}]"
32135,"Piedmont Avenue Northeast 215, Atlanta, 30308, Estados Unidos","El Just renovated 3 BR/2Bath/ parking+ downtown view es un alojamiento con vistas a la ciudad situado en el centro de Atlanta, a 1,2 km del NEW World of Coca-Cola y a 1,4 km del acuario de Georgia. El establecimiento cuenta con restaurante, aparcamiento privado gratuito y WiFi gratuita.

El apartamento dispone de aire acondicionado, 3 dormitorios, sala de estar, cocina totalmente equipada con nevera y cafetera y 2 baños con ducha y artículos de aseo gratuitos. Se proporcionan toallas y ropa de cama.

La recepción del apartamento puede proporcionar información sobre la zona.

Cerca del Just renovated 3 BR/2Bath/ parking+ downtown view hay varios lugares de interés, como el Centro Nacional de Derechos Civiles y Humanos, el parque olímpico Centenario y el teatro FOX. El aeropuerto más cercano es el aeropuerto internacional Hartsfield-Jackson de Atlanta, ubicado a 14 km.","['Parking gratis', 'Recepción 24 horas', 'Habitaciones sin humo', 'Restaurante', 'WiFi gratis', 'Habitaciones familiares']",33.7601459,-84.3815974,"[{'Personal': '8.6'}, {'Instalaciones y servicios': '8.2'}, {'Limpieza': '8.2'}, {'Confort': '7.9'}, {'Relación calidad-precio': '7.5'}, {'Ubicación': '8.2'}]"
32199,"3700 Southwest 42nd Street, Gainesville, FL 32608, Estados Unidos","El Courtyard by Marriott Gainesville FL cuenta con piscina al aire libre y centro de fitness 24 horas. Ofrece servicio de limpieza en seco el mismo día. La Universidad de Florida está a 7,3 millas de distancia.

Todas las habitaciones están equipadas con nevera pequeña, tetera/cafetera y aire acondicionado. Todas disponen de una cómoda zona de trabajo con silla ergonómica y buena iluminación.

Para el desayuno, los huéspedes pueden disfrutar de una variedad de platos americanos y bebidas calientes en la cafetería del hotel. El supermercado pequeño ofrece aperitivos y bebidas frías.

El Courtyard by Marriott Gainesville FL cuenta con una zona de lavandería de autoservicio y ofrece servicio de limpieza diario en todas las habitaciones.

El Courtyard by Marriott Gainesville FL se encuentra a 2 millas del Museo de Historia Natural de Florida. El bosque de mariposas se encuentra a 5 minutos en coche.","['Florida Museum of Natural History and Butterfly Rainforest\n2,2 km', 'Parking gratis', 'Adaptado personas de movilidad reducida', 'Desayuno', 'Split Rock Conservation Area\n1,7 km', 'Phoenix Park\n2,3 km', 'Habitaciones sin humo', 'Forest Park\n1,8 km', 'Piscina al aire libre', 'Gimnasio']",29.62027328,-82.38592744,
32274,"1521 North Cassady Avenue, Columbus, OH 43219, Estados Unidos","El Comfort Suites Columbus Airport se encuentra en Columbus, a 8 km de SegAway Tours of Columbus y del barrio italian Village, y ofrece habitaciones con aire acondicionado y baño privado. El alojamiento está situado a unos 8 km del BalletMet, a 8 km del parque Natural Resources Park y a 9 km del Columbus College of Art and Design. El hotel cuenta con piscina cubierta, recepción 24 horas y WiFi gratuita en todas las instalaciones.

Por las mañanas se sirve un desayuno continental.

El Comfort Suites Columbus Airport está situado a 9 km del Museo de Arte de Columbus y a 10 km de Capitol Square. El establecimiento se halla a 4,2 km del aeropuerto internacional John Glenn Columbus, el más cercano. Se proporciona servicio de enlace con el aeropuerto gratuito.","['Adaptado personas de movilidad reducida', 'Desayuno', 'Traslado aeropuerto (gratis)', 'Habitaciones sin humo', 'WiFi gratis', 'Piscina interior', 'Parking privado', 'Gimnasio']",40.001647,-82.931337,
32295,"One Jay R. Turner Drive, Pooler, Savannah, GA 31408, Estados Unidos","El hotel en Savannah, Georgia, está a una milla del aeropuerto internacional de Savannah/Hilton Head. Este hotel para no fumadores ofrece servicio gratuito de enlace con el aeropuerto y habitaciones con conexión Wi-Fi gratuita.

El Savannah Airport SpringHill Suites sirve un desayuno continental diario. Los huéspedes pueden utilizar la piscina cubierta y el jacuzzi. También hay un centro de fitness y aparcamiento gratuito.

Las suites del SpringHill Suites Savannah Airport son amplias y están equipadas con TV de pantalla plana de 43 pulgadas y sofá cama. También incluyen microondas, nevera pequeña y cafetera.

El Museo Mighty Eighth Air Force Heritage está a poca distancia en coche del hotel Savannah Airport SpringHill Suites. El Owens-Thomas House y el Savannah Riverboat Cruises se encuentran a 20 minutos en coche del hotel.","['Buen desayuno', 'Parking gratis', 'Adaptado personas de movilidad reducida', 'Tetera/cafetera en todas las habitaciones', 'Traslado aeropuerto (gratis)', 'Habitaciones sin humo', 'Piscina interior', 'Habitaciones familiares', 'Gimnasio']",32.14052089,-81.23476893,
32305,"175 East Town Street, Columbus, OH 43215, Estados Unidos","Steps from the Ohio Theater, this hotel located in Columbus offers an on-site restaurant.

The Holiday Inn Columbus Downtown-Capitol Square features free WiFi access in each guestroom. After a day of sightseeing, relax in the indoor pool or take advantage of the 24-hour fitness centre. Breakfast, lunch and dinner are served at the hotel's Burger Theory Bar and Lounge, offering a variety of menu items.

Several attractions are located a short distance from the Columbus Downtown-Capitol Square Holiday Inn including Deaf Park Topiary Garden and the Columbus Convention Center. The Arena District and Palace Theater are also easily accessible.","['¿Se sirven desayunos?', 'Parking en el alojamiento', 'Adaptado personas de movilidad reducida', 'Desayuno', 'Habitaciones sin humo', 'Restaurante', 'WiFi gratis', 'Piscina interior', 'Bar', 'Gimnasio']",39.95909807,-82.99480578,"[{'Habitación asignada al hacer el registro de entrada': '1 cama doble extragrandeo1 cama doble grande'}, {'Habitación Doble - No fumadores': '1 cama doble grande'}, {'Habitación - 1 cama extragrande - No fumadores': '1 cama doble extragrande'}, {'Habitación Doble con 2 camas dobles - No fumadores': '2 camas dobles grandes'}, {'Habitación Executive con cama extragrande - No fumadores': '1 cama doble extragrande'}, {'Suite con cama extragrande - No fumadores': '1 cama doble extragrande'}, {'Personal': '8.5'}, {'Instalaciones y servicios': '7.8'}, {'Limpieza': '8.1'}, {'Confort': '8.2'}, {'Relación calidad-precio': '7.5'}, {'Ubicación': '8.7'}, {'WiFi gratis': '8.1'}]"
32325,"Agias Theklas 8, Atenas, 10554, Grecia",,"['Servicio de limpieza diario', 'Servicio de lavandería', 'Desayuno fantástico', 'Habitaciones sin humo', 'WiFi gratis', 'Traslado aeropuerto', 'Aire acondicionado', 'Terraza', 'Habitaciones familiares']",37.97696007,23.72519081,
32335,"175 East Town Street, Columbus, OH 43215, Estados Unidos","Steps from the Ohio Theater, this hotel located in Columbus offers an on-site restaurant.

The Holiday Inn Columbus Downtown-Capitol Square features free WiFi access in each guestroom. After a day of sightseeing, relax in the indoor pool or take advantage of the 24-hour fitness centre. Breakfast, lunch and dinner are served at the hotel's Burger Theory Bar and Lounge, offering a variety of menu items.

Several attractions are located a short distance from the Columbus Downtown-Capitol Square Holiday Inn including Deaf Park Topiary Garden and the Columbus Convention Center. The Arena District and Palace Theater are also easily accessible.","['Parking en el alojamiento', 'Adaptado personas de movilidad reducida', 'Desayuno', 'Habitaciones sin humo', 'Restaurante', 'WiFi gratis', 'Piscina interior', 'Bar', 'Gimnasio', 'Tipo de cocina\nAmericana']",39.95909807,-82.99480578,
