,url,latitud,longitude,n_reviews
63,https://www.tripadvisor.com.ar/Attraction_Review-g143044-d145643-Reviews-Mount_Rainier-Mount_Rainier_National_Park_Washington.html,46.852455,-121.760223,1.813 opiniones
64,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d1050677-Reviews-Kerry_Park-Seattle_Washington.html,47.629711,-122.359917,3.504 opiniones
65,https://www.tripadvisor.com.ar/Attraction_Review-g58748-d141315-Reviews-Snoqualmie_Falls-Snoqualmie_Washington.html,,,
66,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d146840-Reviews-Museum_of_Pop_Culture-Seattle_Washington.html,47.621655,-122.348183,7.249 opiniones
67,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d531952-Reviews-T_Mobile_Park-Seattle_Washington.html,47.591404,-122.332504,4.404 opiniones
68,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d319153-Reviews-Hiram_M_Chittenden_Locks-Seattle_Washington.html,,,
69,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d143564-Reviews-Sky_View_Observatory-Seattle_Washington.html,47.604305,-122.330894,2.617 opiniones
70,https://www.tripadvisor.com.ar/Attraction_Review-g143047-d104771-Reviews-Hoh_Rain_Forest-Olympic_National_Park_Washington.html,47.959171,-124.389481,1.537 opiniones
71,https://www.tripadvisor.com.ar/Attraction_Review-g143047-d547251-Reviews-Hurricane_Ridge-Olympic_National_Park_Washington.html,,,
72,https://www.tripadvisor.com.ar/Attraction_Review-g58643-d141364-Reviews-Deception_Pass_State_Park-Oak_Harbor_Whidbey_Island_Washington.html,48.360821,-122.642982,1.431 opiniones
73,https://www.tripadvisor.com.ar/Attraction_Review-g58759-d278197-Reviews-Manito_Park-Spokane_Washington.html,47.639481,-117.409378,1.490 opiniones
74,https://www.tripadvisor.com.ar/Attraction_Review-g58775-d254536-Reviews-Point_Defiance_Park-Tacoma_Washington.html,,,
75,https://www.tripadvisor.com.ar/Attraction_Review-g58630-d104775-Reviews-Cape_Flattery_Trail-Neah_Bay_Clallam_County_Washington.html,48.385834,-124.726532,616 opiniones
76,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d558679-Reviews-Seattle_Public_Library-Seattle_Washington.html,47.606682,-122.332657,2.230 opiniones
77,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d141275-Reviews-Klondike_Gold_Rush_National_Historical_Park-Seattle_Washington.html,,,
78,https://www.tripadvisor.com.ar/Attraction_Review-g58350-d1167377-Reviews-Whatcom_Falls_Park-Bellingham_Washington.html,48.750805,-122.429153,957 opiniones
79,https://www.tripadvisor.com.ar/Attraction_Review-g58560-d12065473-Reviews-Leavenworth_Reindeer_Farm-Leavenworth_Washington.html,47.606628,-120.649307,553 opiniones
80,https://www.tripadvisor.com.ar/Attraction_Review-g58759-d146280-Reviews-Riverfront_Park-Spokane_Washington.html,,,
81,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d141518-Reviews-Museum_of_History_Industry-Seattle_Washington.html,47.627583,-122.336746,874 opiniones
82,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d3184389-Reviews-Chihuly_Garden_and_Glass-Seattle_Washington.html,,,
83,https://www.tripadvisor.com.ar/Attraction_Review-g60921-d117082-Reviews-Marymere_Falls-Port_Angeles_Clallam_County_Washington.html,48.075081,-123.771004,729 opiniones
84,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d141235-Reviews-Alki_Beach-Seattle_Washington.html,47.581501,-122.405701,1.087 opiniones
85,https://www.tripadvisor.com.ar/Attraction_Review-g28968-d109354-Reviews-Mount_St_Helens-Washington.html,,,
86,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d2484267-Reviews-Bill_Melinda_Gates_Foundation_Discovery_Center-Seattle_Washington.html,47.622868,-122.347420,711 opiniones
87,https://www.tripadvisor.com.ar/Attraction_Review-g58560-d146148-Reviews-Waterfront_Park-Leavenworth_Washington.html,47.595341,-120.660561,584 opiniones
88,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d141346-Reviews-Seattle_Japanese_Garden-Seattle_Washington.html,,,
89,https://www.tripadvisor.com.ar/Attraction_Review-g60878-d7788019-Reviews-Seattle_Light_Rail_Service-Seattle_Washington.html,47.445606,-122.296745,3.168 opiniones
90,https://www.tripadvisor.com.ar/Attraction_Review-g34009-d274543-Reviews-Air_Mobility_Command_Museum-Dover_Delaware.html,39.118675,-75.457039,1.117 opiniones
91,https://www.tripadvisor.com.ar/Attraction_Review-g34028-d1172802-Reviews-Cape_May_Lewes_Ferry-Lewes_Delaware.html,,,
92,https://www.tripadvisor.com.ar/Attraction_Review-g34028-d103510-Reviews-Cape_Henlopen_State_Park-Lewes_Delaware.html,38.779987,-75.119560,1.460 opiniones
93,https://www.tripadvisor.com.ar/Attraction_Review-g34059-d258874-Reviews-Nemours_Estate-Wilmington_Delaware.html,,,
94,https://www.tripadvisor.com.ar/Attraction_Review-g34048-d268889-Reviews-Funland-Rehoboth_Beach_Delaware.html,38.714584,-75.076164,1.823 opiniones
95,https://www.tripadvisor.com.ar/Attraction_Review-g34060-d138300-Reviews-Winterthur_Museum_Garden_Library-Winterthur_Delaware.html,,,
96,https://www.tripadvisor.com.ar/Attraction_Review-g34059-d107854-Reviews-Hagley_Museum_And_Library-Wilmington_Delaware.html,39.774944,-75.577881,823 opiniones
97,https://www.tripadvisor.com.ar/Attraction_Review-g34048-d23235344-Reviews-Rehoboth_Beach_Boardwalk-Rehoboth_Beach_Delaware.html,,,
98,https://www.tripadvisor.com.ar/Attraction_Review-g34039-d657793-Reviews-Dogfish_Head_Craft_Brewery-Milton_Delaware.html,38.770260,-75.310890,619 opiniones
99,https://www.tripadvisor.com.ar/Attraction_Review-g34028-d552705-Reviews-Lewes_Historical_Society-Lewes_Delaware.html,,,
100,https://www.tripadvisor.com.ar/Attraction_Review-g34028-d2415342-Reviews-Hopkins_Farm_Creamery-Lewes_Delaware.html,38.736240,-75.222839,314 opiniones
101,https://www.tripadvisor.com.ar/Attraction_Review-g34009-d274543-Reviews-Air_Mobility_Command_Museum-Dover_Delaware.html,,,
102,https://www.tripadvisor.com.ar/Attraction_Review-g34028-d1172802-Reviews-Cape_May_Lewes_Ferry-Lewes_Delaware.html,38.781399,-75.119209,1.929 opiniones
103,https://www.tripadvisor.com.ar/Attraction_Review-g34028-d103510-Reviews-Cape_Henlopen_State_Park-Lewes_Delaware.html,38.779987,-75.119560,1.460 opiniones
104,https://www.tripadvisor.com.ar/Attraction_Review-g34059-d258874-Reviews-Nemours_Estate-Wilmington_Delaware.html,,,
105,https://www.tripadvisor.com.ar/Attraction_Review-g34048-d268889-Reviews-Funland-Rehoboth_Beach_Delaware.html,38.714584,-75.076164,1.823 opiniones
106,https://www.tripadvisor.com.ar/Attraction_Review-g34060-d138300-Reviews-Winterthur_Museum_Garden_Library-Winterthur_Delaware.html,,,
107,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d258685-Reviews-Universal_Islands_of_Adventure-Orlando_Florida.html,28.472799,-81.471672,52.312 opiniones
108,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d1968468-Reviews-The_Wizarding_World_of_Harry_Potter_at_Universal_Orlando_Resort-Orlando_Florida.html,28.480040,-81.472519,41.318 opiniones
109,https://www.tripadvisor.com.ar/Attraction_Review-g34296-d632053-Reviews-Hollywood_Beach-Hollywood_Broward_County_Florida.html,,,
110,https://www.tripadvisor.com.ar/Attraction_Review-g34345-d130377-Reviews-The_Ernest_Hemingway_Home_and_Museum-Key_West_Florida_Keys_Florida.html,24.551197,-81.800659,20.927 opiniones
111,https://www.tripadvisor.com.ar/Attraction_Review-g34345-d599396-Reviews-Key_West_Butterfly_and_Nature_Conservatory-Key_West_Florida_Keys_Florida.html,,,
112,https://www.tripadvisor.com.ar/Attraction_Review-g34141-d117476-Reviews-Clearwater_Beach-Clearwater_Florida.html,27.976566,-82.829506,12.833 opiniones
113,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d130846-Reviews-Disney_Springs-Orlando_Florida.html,,,
