,state_id,attraction,reviews_url,region,new_categories
56,IN,Indiana War Memorial,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103677-Reviews-Indiana_War_Memorial-Indianapolis_Indiana.html,East North Central,Historia
57,IN,The Eiteljorg Museum,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d110141-Reviews-The_Eiteljorg_Museum-Indianapolis_Indiana.html,East North Central,Ciencia
58,IN,Basilica of the Sacred Heart,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d4522203-Reviews-Basilica_of_the_Sacred_Heart-South_Bend_Indiana.html,East North Central,Espiritualidad
59,IN,Brown County State Park,https://www.tripadvisor.com.ar/Attraction_Review-g37361-d3974892-Reviews-Brown_County_State_Park-Nashville_Indiana.html,East North Central,Naturaleza
60,IN,Victory Field,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d2242259-Reviews-Victory_Field-Indianapolis_Indiana.html,East North Central,Deportes
61,IN,USS LST Ship Memorial,https://www.tripadvisor.com.ar/Attraction_Review-g37093-d1817905-Reviews-USS_LST_Ship_Memorial-Evansville_Indiana.html,East North Central,
62,IN,Marengo Cave,https://www.tripadvisor.com.ar/Attraction_Review-g37291-d268920-Reviews-Marengo_Cave-Marengo_Indiana.html,East North Central,
63,IN,Clifty Falls State Park,https://www.tripadvisor.com.ar/Attraction_Review-g37289-d103667-Reviews-Clifty_Falls_State_Park-Madison_Indiana.html,East North Central,
64,IN,Children's Museum of Indianapolis,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103671-Reviews-Children_s_Museum_of_Indianapolis-Indianapolis_Indiana.html,East North Central,
65,IN,Indianapolis Motor Speedway Museum,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103672-Reviews-Indianapolis_Motor_Speedway_Museum-Indianapolis_Indiana.html,East North Central,Ciencia
66,IN,Indianapolis Museum of Art,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103675-Reviews-Indianapolis_Museum_of_Art-Indianapolis_Indiana.html,East North Central,Ciencia
67,IN,Indiana State Museum,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d274288-Reviews-Indiana_State_Museum-Indianapolis_Indiana.html,East North Central,Ciencia
68,IN,Monument Circle,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d7038008-Reviews-Monument_Circle-Indianapolis_Indiana.html,East North Central,Historia
69,IN,Columbus Visitors Center,https://www.tripadvisor.com.ar/Attraction_Review-g37027-d2169855-Reviews-Columbus_Visitors_Center-Columbus_Indiana.html,East North Central,Ciencia
70,IN,The Miller House and Garden,https://www.tripadvisor.com.ar/Attraction_Review-g37027-d2169859-Reviews-The_Miller_House_and_Garden-Columbus_Indiana.html,East North Central,Historia
71,IN,Wolf Park,https://www.tripadvisor.com.ar/Attraction_Review-g36927-d207709-Reviews-Wolf_Park-Battle_Ground_Indiana.html,East North Central,
72,IN,Indiana Convention Center,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1419413-Reviews-Indiana_Convention_Center-Indianapolis_Indiana.html,East North Central,
73,MI,Saugatuck Dune Rides,https://www.tripadvisor.com.ar/Attraction_Review-g42683-d2181753-Reviews-Saugatuck_Dune_Rides-Saugatuck_Allegan_County_Michigan.html,East North Central,
74,MI,Museo de Henry Ford,https://www.tripadvisor.com.ar/Attraction_Review-g42130-d103793-Reviews-Henry_Ford_Museum_of_American_Innovation-Dearborn_Michigan.html,East North Central,Ciencia
75,MI,Frederik Meijer Gardens & Sculpture Park,https://www.tripadvisor.com.ar/Attraction_Review-g42256-d251807-Reviews-Frederik_Meijer_Gardens_Sculpture_Park-Grand_Rapids_Kent_County_Michigan.html,East North Central,Naturaleza
76,MI,Detroit Institute of Arts,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d265439-Reviews-Detroit_Institute_of_Arts-Detroit_Michigan.html,East North Central,Cultura
77,MI,Pictured Rocks National Lakeshore,https://www.tripadvisor.com.ar/Attraction_Review-g42497-d134013-Reviews-Pictured_Rocks_National_Lakeshore-Munising_Upper_Peninsula_Michigan.html,East North Central,
78,MI,Motown Museum,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d216637-Reviews-Motown_Museum-Detroit_Michigan.html,East North Central,Ciencia
79,MI,Arch Rock,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d277455-Reviews-Arch_Rock-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,
80,MI,Shepler's Mackinac Island Ferry,https://www.tripadvisor.com.ar/Attraction_Review-g42424-d2244353-Reviews-Shepler_s_Mackinac_Island_Ferry-Mackinaw_City_Cheboygan_County_Michigan.html,East North Central,
81,MI,Tahquamenon Falls State Park,https://www.tripadvisor.com.ar/Attraction_Review-g42575-d145616-Reviews-Tahquamenon_Falls_State_Park-Paradise_Upper_Peninsula_Michigan.html,East North Central,Naturaleza
82,MI,Greenfield Village,https://www.tripadvisor.com.ar/Attraction_Review-g42130-d2305153-Reviews-Greenfield_Village-Dearborn_Michigan.html,East North Central,
