,reviews_url,latitud,longitude,n_reviews
57,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d110141-Reviews-The_Eiteljorg_Museum-Indianapolis_Indiana.html,39.768566,-86.1679,869
58,https://www.tripadvisor.com.ar/Attraction_Review-g37535-d4522203-Reviews-Basilica_of_the_Sacred_Heart-South_Bend_Indiana.html,41.700497,-86.240784,700
59,https://www.tripadvisor.com.ar/Attraction_Review-g37361-d3974892-Reviews-Brown_County_State_Park-Nashville_Indiana.html,39.212101,-86.244568,846
60,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d2242259-Reviews-Victory_Field-Indianapolis_Indiana.html,39.76416,-86.168472,1286
61,https://www.tripadvisor.com.ar/Attraction_Review-g37093-d1817905-Reviews-USS_LST_Ship_Memorial-Evansville_Indiana.html,37.973305,-87.58046,383
62,https://www.tripadvisor.com.ar/Attraction_Review-g37291-d268920-Reviews-Marengo_Cave-Marengo_Indiana.html,38.374546,-86.348869,464
63,https://www.tripadvisor.com.ar/Attraction_Review-g37289-d103667-Reviews-Clifty_Falls_State_Park-Madison_Indiana.html,38.76088,-85.418793,667
64,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103671-Reviews-Children_s_Museum_of_Indianapolis-Indianapolis_Indiana.html,39.810604,-86.157776,3973
65,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103672-Reviews-Indianapolis_Motor_Speedway_Museum-Indianapolis_Indiana.html,39.789955,-86.233681,2888
66,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d103675-Reviews-Indianapolis_Museum_of_Art-Indianapolis_Indiana.html,39.825569,-86.182503,1472
67,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d274288-Reviews-Indiana_State_Museum-Indianapolis_Indiana.html,39.76907,-86.169312,530
68,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d7038008-Reviews-Monument_Circle-Indianapolis_Indiana.html,39.768547,-86.158882,919
69,https://www.tripadvisor.com.ar/Attraction_Review-g37027-d2169855-Reviews-Columbus_Visitors_Center-Columbus_Indiana.html,39.203979,-85.919502,520
70,https://www.tripadvisor.com.ar/Attraction_Review-g37027-d2169859-Reviews-The_Miller_House_and_Garden-Columbus_Indiana.html,39.203758,-85.919518,227
71,https://www.tripadvisor.com.ar/Attraction_Review-g36927-d207709-Reviews-Wolf_Park-Battle_Ground_Indiana.html,40.533989,-86.830582,177
72,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1419413-Reviews-Indiana_Convention_Center-Indianapolis_Indiana.html,39.764339,-86.162178,513
73,https://www.tripadvisor.com.ar/Attraction_Review-g42683-d2181753-Reviews-Saugatuck_Dune_Rides-Saugatuck_Allegan_County_Michigan.html,42.676891,-86.183693,3614
74,https://www.tripadvisor.com.ar/Attraction_Review-g42130-d103793-Reviews-Henry_Ford_Museum_of_American_Innovation-Dearborn_Michigan.html,42.304928,-83.234589,4731
75,https://www.tripadvisor.com.ar/Attraction_Review-g42256-d251807-Reviews-Frederik_Meijer_Gardens_Sculpture_Park-Grand_Rapids_Kent_County_Michigan.html,42.980751,-85.590172,3054
76,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d265439-Reviews-Detroit_Institute_of_Arts-Detroit_Michigan.html,42.359276,-83.064651,2993
77,https://www.tripadvisor.com.ar/Attraction_Review-g42497-d134013-Reviews-Pictured_Rocks_National_Lakeshore-Munising_Upper_Peninsula_Michigan.html,46.42384,-86.625099,2200
78,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d216637-Reviews-Motown_Museum-Detroit_Michigan.html,42.36414,-83.088348,2141
79,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d277455-Reviews-Arch_Rock-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,45.857773,-84.606644,2807
80,https://www.tripadvisor.com.ar/Attraction_Review-g42424-d2244353-Reviews-Shepler_s_Mackinac_Island_Ferry-Mackinaw_City_Cheboygan_County_Michigan.html,45.781406,-84.722488,3072
82,https://www.tripadvisor.com.ar/Attraction_Review-g42130-d2305153-Reviews-Greenfield_Village-Dearborn_Michigan.html,42.303936,-83.2313,2584
83,https://www.tripadvisor.com.ar/Attraction_Review-g42182-d143265-Reviews-Sleeping_Bear_Dunes_National_Lakeshore-Empire_Leelanau_County_Michigan.html,44.811661,-86.056099,1923
84,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d257969-Reviews-Comerica_Park-Detroit_Michigan.html,42.337749,-83.051178,2719
85,https://www.tripadvisor.com.ar/Attraction_Review-g42684-d483530-Reviews-Soo_Locks-Sault_Ste_Marie_Upper_Peninsula_Michigan.html,46.503277,-84.3517,1724
86,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d103906-Reviews-Fort_Mackinac-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,45.851955,-84.617271,2129
87,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d615400-Reviews-Mackinac_Island_State_Park-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,45.857407,-84.618874,1991
88,https://www.tripadvisor.com.ar/Attraction_Review-g42671-d104191-Reviews-Mackinac_Bridge-Saint_Ignace_Mackinac_County_Upper_Peninsula_Michigan.html,45.863998,-84.718399,1403
89,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d2234870-Reviews-Detroit_RiverFront-Detroit_Michigan.html,42.330639,-83.038338,1480
90,https://www.tripadvisor.com.ar/Attraction_Review-g42256-d107351-Reviews-Gerald_R_Ford_Museum-Grand_Rapids_Kent_County_Michigan.html,42.968182,-85.676971,1147
91,https://www.tripadvisor.com.ar/Attraction_Review-g42310-d1846443-Reviews-Holland_State_Park_Beach-Holland_Ottawa_County_Michigan.html,42.777412,-86.200249,1398
92,https://www.tripadvisor.com.ar/Attraction_Review-g42683-d142430-Reviews-Oval_Beach-Saugatuck_Allegan_County_Michigan.html,42.658489,-86.212257,1094
93,https://www.tripadvisor.com.ar/Attraction_Review-g42441-d2284760-Reviews-Presque_Isle_Park-Marquette_Upper_Peninsula_Michigan.html,46.587749,-87.379501,1003
94,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d584774-Reviews-The_Ford_Piquette_Avenue_Plant-Detroit_Michigan.html,42.36869,-83.065239,572
95,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d1867837-Reviews-The_Guardian_Building-Detroit_Michigan.html,42.329559,-83.045982,757
96,https://www.tripadvisor.com.ar/Attraction_Review-g42310-d490513-Reviews-Windmill_Island_Gardens-Holland_Ottawa_County_Michigan.html,42.799068,-86.095413,1256
97,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d2262816-Reviews-Mackinac_Island_Ferry_Co-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,45.849617,-84.617401,1567
98,https://www.tripadvisor.com.ar/Attraction_Review-g42441-d618207-Reviews-Lakenenland_Sculpture_Park-Marquette_Upper_Peninsula_Michigan.html,46.492447,-87.153679,582
99,https://www.tripadvisor.com.ar/Attraction_Review-g42424-d105698-Reviews-Colonial_Michilimackinac-Mackinaw_City_Cheboygan_County_Michigan.html,45.787769,-84.733223,959
100,https://www.tripadvisor.com.ar/Attraction_Review-g42430-d8782846-Reviews-Kitch_Iti_Kipi_The_Big_Spring-Manistique_Upper_Peninsula_Michigan.html,46.004192,-86.382057,603
101,https://www.tripadvisor.com.ar/Attraction_Review-g42276-d667426-Reviews-Quincy_Mine-Hancock_Upper_Peninsula_Michigan.html,47.139839,-88.572594,493
102,https://www.tripadvisor.com.ar/Attraction_Review-g42683-d2181753-Reviews-Saugatuck_Dune_Rides-Saugatuck_Allegan_County_Michigan.html,42.676891,-86.183693,3614
103,https://www.tripadvisor.com.ar/Attraction_Review-g42130-d103793-Reviews-Henry_Ford_Museum_of_American_Innovation-Dearborn_Michigan.html,42.304928,-83.234589,4731
104,https://www.tripadvisor.com.ar/Attraction_Review-g42256-d251807-Reviews-Frederik_Meijer_Gardens_Sculpture_Park-Grand_Rapids_Kent_County_Michigan.html,42.980751,-85.590172,3054
105,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d265439-Reviews-Detroit_Institute_of_Arts-Detroit_Michigan.html,42.359276,-83.064651,2993
106,https://www.tripadvisor.com.ar/Attraction_Review-g42497-d134013-Reviews-Pictured_Rocks_National_Lakeshore-Munising_Upper_Peninsula_Michigan.html,46.42384,-86.625099,2200
107,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d216637-Reviews-Motown_Museum-Detroit_Michigan.html,42.36414,-83.088348,2141
108,https://www.tripadvisor.com.ar/Attraction_Review-g42554-d134274-Reviews-Porcupine_Mountains_Wilderness_State_Park-Ontonagon_Upper_Peninsula_Michigan.html,46.80159,-89.769257,633
109,https://www.tripadvisor.com.ar/Attraction_Review-g42416-d2044388-Reviews-Ludington_State_Park-Ludington_Michigan.html,44.029362,-86.50267,982
110,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d560598-Reviews-Ford_Field-Detroit_Michigan.html,42.338749,-83.046303,877
111,https://www.tripadvisor.com.ar/Attraction_Review-g42575-d1008116-Reviews-Great_Lakes_Shipwreck_Museum-Paradise_Upper_Peninsula_Michigan.html,46.770756,-84.958015,974
112,https://www.tripadvisor.com.ar/Attraction_Review-g42758-d6690374-Reviews-Mission_Point_Lighthouse-Traverse_City_Grand_Traverse_County_Michigan.html,44.991138,-85.478813,923
113,https://www.tripadvisor.com.ar/Attraction_Review-g42671-d1840645-Reviews-Castle_Rock-Saint_Ignace_Mackinac_County_Upper_Peninsula_Michigan.html,45.90918,-84.738762,658
114,https://www.tripadvisor.com.ar/Attraction_Review-g42216-d659395-Reviews-Bronner_s_Christmas_Wonderland-Frankenmuth_Michigan.html,43.31435,-83.736488,3354
115,https://www.tripadvisor.com.ar/Attraction_Review-g42231-d657799-Reviews-Bell_s_Comstock_Brewery-Galesburg_Kalamazoo_County_Michigan.html,42.284477,-85.453621,281
116,https://www.tripadvisor.com.ar/Attraction_Review-g42255-d4740011-Reviews-Sable_Falls-Grand_Marais_Upper_Peninsula_Michigan.html,46.671352,-85.983994,149
