,attraction,n_reviews,categories,state,region
128,USS Albacore Museum,622,"Museos especializados, Museos de historia",New Hampshire,New England
129,Polar Caves Park,424,Cavernas y cuevas,New Hampshire,New England
130,Prescott Park,713,"Parques, Jardines",New Hampshire,New England
131,Nestlenook Estate & Resort Sleigh Rides,214,Granjas,New Hampshire,New England
132,AG Paintball,198,Centros de juego y entretenimiento,New Hampshire,New England
133,Granite State Escape,174,Juegos de escape,New Hampshire,New England
134,Art Escape,127,Estudios de pintura y cerámica,New Hampshire,New England
135,Mt. Washington Auto Road,2.028,"Tours para vehículos todo terreno y 4 x 4, Tours autoguiados y alquileres",New Hampshire,New England
136,Alpine Adventures Outdoor Recreation,1.276,"Tours para vehículos todo terreno y 4 x 4, Tours extremos y de adrenalina",New Hampshire,New England
137,The Breakers,6.204,Museos especializados,Rhode Island,New England
138,Cliff Walk,5.602,"Monumentos y lugares de interés, Áreas históricas peatonales",Rhode Island,New England
139,Ocean Drive,2.986,"Áreas históricas peatonales, Rutas turísticas",Rhode Island,New England
140,The Elms,1.899,Museos especializados,Rhode Island,New England
141,Newport Mansions,1.627,"Museos especializados, Edificios con valor arquitectónico",Rhode Island,New England
142,Marble House,1.785,Museos especializados,Rhode Island,New England
143,Mohegan Bluffs,752,"Playas, Rutas para senderismo",Rhode Island,New England
144,Fort Adams State Park,1.154,"Lugares históricos, Parques",Rhode Island,New England
145,Rough Point Museum,601,"Museos especializados, Lugares históricos",Rhode Island,New England
146,Rhode Island School of Design Museum of Art,980,Museos de arte,Rhode Island,New England
147,Thames Street,809,Monumentos y lugares de interés,Rhode Island,New England
148,Touro Synagogue,502,"Lugares históricos, Lugares religiosos",Rhode Island,New England
149,Bowen's Wharf,425,"Muelles y paseos peatonales, Centros comerciales",Rhode Island,New England
150,International Tennis Hall of Fame,604,"Museos especializados, Monumentos y lugares de interés",Rhode Island,New England
151,Rosecliff,1.049,Museos especializados,Rhode Island,New England
152,Newport Car Museum,206,Museos especializados,Rhode Island,New England
153,Narragansett Beach,562,Playas,Rhode Island,New England
154,"Blithewold Mansion, Gardens & Arboretum",362,"Lugares históricos, Monumentos y lugares de interés",Rhode Island,New England
155,Rhode Island State House,428,"Edificios con valor arquitectónico, Edificios gubernamentales",Rhode Island,New England
156,Block Island Ferry,563,Ferris,Rhode Island,New England
157,St. Ann Arts and Cultural Center,115,Museos especializados,Rhode Island,New England
158,Brenton Point State Park,308,"Parques estatales, Parques",Rhode Island,New England
159,Firehouse Theater,285,"Teatros, Clubes de comedia",Rhode Island,New England
160,R1 Indoor Karting,145,Centros de juego y entretenimiento,Rhode Island,New England
161,TimeMission,146,"Juegos de escape, Centros de juego y entretenimiento",Rhode Island,New England
162,Rail Explorers,3.231,"Tours ecológicos, Tours turísticos",Rhode Island,New England
163,Gansett Cruises,1.546,Tours en barco,Rhode Island,New England
164,"Hildene, The Lincoln Family Home",1.442,"Lugares históricos, Museos de historia",Vermont,New England
165,Shelburne Museum,1.243,Museos especializados,Vermont,New England
166,Burlington Bike Path,1.160,Rutas para senderismo,Vermont,New England
167,Church Street Marketplace,2.001,"Monumentos y lugares de interés, Mercados de las pulgas y al aire libre",Vermont,New England
168,Sugarbush Farm,1.048,Granjas,Vermont,New England
169,Quechee Gorge,1.051,"Cañones, Formaciones geológicas",Vermont,New England
170,Waterfront Park,896,Parques,Vermont,New England
171,Billings Farm & Museum,755,"Lugares históricos, Granjas",Vermont,New England
172,Moss Glen Falls,424,Cascadas,Vermont,New England
173,Marsh - Billings - Rockefeller National Historical Park,473,"Lugares históricos, Parques nacionales",Vermont,New England
174,Bennington Battle Monument,762,"Miradores, Monumentos y estatuas",Vermont,New England
175,Vermont Institute of Natural Science (VINS),384,Áreas de naturaleza y vida silvestre,Vermont,New England
176,Smugglers Notch State Park,381,"Parques estatales, Áreas históricas peatonales",Vermont,New England
177,Trapp Family Lodge Outdoor Center,550,"Áreas para esquiar y practicar snowboard, Áreas para practicar esquí de fondo",Vermont,New England
178,Baird Farm Vermont Maple Syrup,205,Granjas,Vermont,New England
179,Vermont State House,483,"Edificios con valor arquitectónico, Edificios gubernamentales",Vermont,New England
180,Morse Farm Maple Sugarworks,500,Granjas,Vermont,New England
181,Dog Mountain Home of Stephen Huneck Gallery,232,Parques,Vermont,New England
182,North Meadow Farm,121,Granjas,Vermont,New England
183,The Alchemist Brewery,325,Cervecerías,Vermont,New England
184,Vermont Toy Museum,143,"Tiendas de regalos, Museos especializados",Vermont,New England
185,Pastime Pinball,106,Centros de juego y entretenimiento,Vermont,New England
186,Snowmobile Vermont,273,Tours de esquí y de nieve,Vermont,New England
187,Snowmobile Vermont,310,Tours de esquí y de nieve,Vermont,New England
188,Snowmobile Vermont,190,Tours de esquí y de nieve,Vermont,New England
189,Whistling Man Schooner Company,1.095,"Tours históricos, Tours en barco",Vermont,New England
