,state_id,attraction,reviews_url,region,new_categories,latitud,longitude,n_reviews
85,IN,Columbus Visitors Center,https://www.tripadvisor.com.ar/Attraction_Review-g37027-d2169855-Reviews-Columbus_Visitors_Center-Columbus_Indiana.html,East North Central,Ciencia,39.203979,-85.919502,520.0
86,IN,The Miller House and Garden,https://www.tripadvisor.com.ar/Attraction_Review-g37027-d2169859-Reviews-The_Miller_House_and_Garden-Columbus_Indiana.html,East North Central,Historia,39.203758,-85.919518,227.0
87,IN,Wolf Park,https://www.tripadvisor.com.ar/Attraction_Review-g36927-d207709-Reviews-Wolf_Park-Battle_Ground_Indiana.html,East North Central,,40.533989,-86.830582,177.0
88,IN,Indiana Convention Center,https://www.tripadvisor.com.ar/Attraction_Review-g37209-d1419413-Reviews-Indiana_Convention_Center-Indianapolis_Indiana.html,East North Central,,39.764339,-86.162178,513.0
89,MI,Saugatuck Dune Rides,https://www.tripadvisor.com.ar/Attraction_Review-g42683-d2181753-Reviews-Saugatuck_Dune_Rides-Saugatuck_Allegan_County_Michigan.html,East North Central,,42.676891,-86.183693,3614.0
91,MI,Museo de Henry Ford,https://www.tripadvisor.com.ar/Attraction_Review-g42130-d103793-Reviews-Henry_Ford_Museum_of_American_Innovation-Dearborn_Michigan.html,East North Central,Ciencia,42.304928,-83.234589,4731.0
93,MI,Frederik Meijer Gardens & Sculpture Park,https://www.tripadvisor.com.ar/Attraction_Review-g42256-d251807-Reviews-Frederik_Meijer_Gardens_Sculpture_Park-Grand_Rapids_Kent_County_Michigan.html,East North Central,Naturaleza,42.980751,-85.590172,3054.0
95,MI,Detroit Institute of Arts,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d265439-Reviews-Detroit_Institute_of_Arts-Detroit_Michigan.html,East North Central,Cultura,42.359276,-83.064651,2993.0
97,MI,Pictured Rocks National Lakeshore,https://www.tripadvisor.com.ar/Attraction_Review-g42497-d134013-Reviews-Pictured_Rocks_National_Lakeshore-Munising_Upper_Peninsula_Michigan.html,East North Central,,46.42384,-86.625099,2200.0
99,MI,Motown Museum,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d216637-Reviews-Motown_Museum-Detroit_Michigan.html,East North Central,Ciencia,42.36414,-83.088348,2141.0
101,MI,Arch Rock,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d277455-Reviews-Arch_Rock-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,,45.857773,-84.606644,2807.0
102,MI,Shepler's Mackinac Island Ferry,https://www.tripadvisor.com.ar/Attraction_Review-g42424-d2244353-Reviews-Shepler_s_Mackinac_Island_Ferry-Mackinaw_City_Cheboygan_County_Michigan.html,East North Central,,45.781406,-84.722488,3072.0
103,MI,Tahquamenon Falls State Park,https://www.tripadvisor.com.ar/Attraction_Review-g42575-d145616-Reviews-Tahquamenon_Falls_State_Park-Paradise_Upper_Peninsula_Michigan.html,East North Central,Naturaleza,,,
104,MI,Greenfield Village,https://www.tripadvisor.com.ar/Attraction_Review-g42130-d2305153-Reviews-Greenfield_Village-Dearborn_Michigan.html,East North Central,,42.303936,-83.2313,2584.0
105,MI,Sleeping Bear Dunes National Lakeshore,https://www.tripadvisor.com.ar/Attraction_Review-g42182-d143265-Reviews-Sleeping_Bear_Dunes_National_Lakeshore-Empire_Leelanau_County_Michigan.html,East North Central,,44.811661,-86.056099,1923.0
106,MI,Comerica Park,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d257969-Reviews-Comerica_Park-Detroit_Michigan.html,East North Central,Deportes,42.337749,-83.051178,2719.0
107,MI,Soo Locks,https://www.tripadvisor.com.ar/Attraction_Review-g42684-d483530-Reviews-Soo_Locks-Sault_Ste_Marie_Upper_Peninsula_Michigan.html,East North Central,,46.503277,-84.3517,1724.0
108,MI,Fort Mackinac,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d103906-Reviews-Fort_Mackinac-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,Historia,45.851955,-84.617271,2129.0
109,MI,Mackinac Island State Park,https://www.tripadvisor.com.ar/Attraction_Review-g42423-d615400-Reviews-Mackinac_Island_State_Park-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,,45.857407,-84.618874,1991.0
110,MI,Mackinac Bridge,https://www.tripadvisor.com.ar/Attraction_Review-g42671-d104191-Reviews-Mackinac_Bridge-Saint_Ignace_Mackinac_County_Upper_Peninsula_Michigan.html,East North Central,,45.863998,-84.718399,1403.0
111,MI,Detroit RiverFront,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d2234870-Reviews-Detroit_RiverFront-Detroit_Michigan.html,East North Central,,42.330639,-83.038338,1480.0
112,MI,Gerald R. Ford Museum,https://www.tripadvisor.com.ar/Attraction_Review-g42256-d107351-Reviews-Gerald_R_Ford_Museum-Grand_Rapids_Kent_County_Michigan.html,East North Central,Ciencia,42.968182,-85.676971,1147.0
113,MI,Holland State Park Beach,https://www.tripadvisor.com.ar/Attraction_Review-g42310-d1846443-Reviews-Holland_State_Park_Beach-Holland_Ottawa_County_Michigan.html,East North Central,Naturaleza,42.777412,-86.200249,1398.0
114,MI,Oval Beach,https://www.tripadvisor.com.ar/Attraction_Review-g42683-d142430-Reviews-Oval_Beach-Saugatuck_Allegan_County_Michigan.html,East North Central,Naturaleza,42.658489,-86.212257,1094.0
115,MI,Presque Isle Park,https://www.tripadvisor.com.ar/Attraction_Review-g42441-d2284760-Reviews-Presque_Isle_Park-Marquette_Upper_Peninsula_Michigan.html,East North Central,,46.587749,-87.379501,1003.0
116,MI,The Ford Piquette Avenue Plant,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d584774-Reviews-The_Ford_Piquette_Avenue_Plant-Detroit_Michigan.html,East North Central,Ciencia,42.36869,-83.065239,572.0
117,MI,The Guardian Building,https://www.tripadvisor.com.ar/Attraction_Review-g42139-d1867837-Reviews-The_Guardian_Building-Detroit_Michigan.html,East North Central,Historia,42.329559,-83.045982,757.0
