,nationality,acommodation,stay,company,review,hotel_id,is_american,date,sentiment
65,Estados Unidos,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,4,En grupo,Very welcoming,11042.0,1,2022-01-15,0.2
67,Estados Unidos,Den Room with King Bed,4,En familia,"Everything was top notch! Clean rooms, bathroom, friendly staff, great free continental breakfast, location close to SNA airport, and location in Irvine not far from everything south of LA and the coast, beautiful!",11042.0,1,2021-12-21,0.5023809523809525
69,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,Persona que viaja sola,Modern inside and out. Beautiful selection of artwork all over the hotel.,11042.0,1,2021-12-10,0.525
70,Estados Unidos,Den Room with King Bed,2,En pareja,the breakfast spread was delicious! Great healthy options. love the modern clean simple furnishings. The bed perfect.,11042.0,1,2021-12-07,0.5458333333333334
72,Estados Unidos,Den Room with King Bed,4,En pareja,"The rooms were very clean which is probably the most important aspect for me when traveling. The housekeeping staff was very friendly and accommodating. I also liked the wonderful couch in the room with the two ottomans. It was so refreshing to have a comfortable place to watch TV and work on the computer. It also had the right amount of facilities in the lobby--a pleasant bar, sufficient tables to get together to talk, a business/work area, and a small snack/grocery store.",11042.0,1,2021-11-26,0.46665584415584416
73,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,2,En familia,It was clean and had friendly staff.,11042.0,1,2021-11-25,0.37083333333333335
75,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2,En familia,"One of the best stays I’ve ever had.
Hotel was amazing! Cannot complain at all!",11042.0,1,2021-09-05,0.96875
76,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",3,En familia,Breakfast was great.,11042.0,1,2021-09-04,0.8
78,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,4,En familia,"Staff was helpful and courteous, from housekeeping to management. My daughter is looking at UC Irvine for college and I would definitely stay here again if she chooses that college.",11042.0,1,2021-08-16,0.3
79,Egipto,Habitación Doble - 2 camas dobles y sofá cama,6,En familia,The room was always clean and there was always refills of everything,11042.0,0,2021-08-04,0.3666666666666667
80,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,4,En familia,Roomy and comfortable,11042.0,1,2021-07-30,0.4
81,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",6,En familia,Clean spacious rooms. Friendly staff. Would definitely stay again.,11042.0,1,2021-07-06,0.24722222222222223
82,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,3,En familia,"Large dog friendly rooms made our family trip an awesome experience. The room was clean and the size was perfect.the location is in a nice and safe location with nearby access to the airport, restaurants, UCI, Irvine Spectrum, and just about everything that you need to have available. This is a 10/10 hotel for a family trip!",11042.0,1,2021-07-05,0.5079931972789116
84,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1,En familia,Clean and thoughtfulness of customers is recognized.,11042.0,1,2021-06-28,0.3666666666666667
85,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,2,En familia,House cleaning wasn't satisfactory. We asked the room to be clean but when we came back it was the same way we left it.,11042.0,1,2021-06-23,0.09166666666666667
86,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,7,En familia,"Our room was quiet, comfortable, and huge- plenty large for our family of five. Everything, including the kitchen and bathroom, was perfectly clean. Breakfast was generous and delicious. All of the staff we came into contact with were over the top friendly and helpful. We would definitely stay here again.",11042.0,1,2021-06-20,0.36177248677248675
87,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",2,En grupo,"The setup of the hotel room was comforting and spacious. Hotel service and employees were very welcoming and easy to communicate with. The location of the hotel was perfect and was a close enough distance from beaches, shopping, and restaurants.",11042.0,1,2021-05-25,0.4083333333333333
89,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,1,En familia,"The room was modern, spacious and clean. We were so impressed we stayed another night just because of the room.",11042.0,1,2021-05-11,0.5222222222222223
90,Estados Unidos,Den Room with King Bed,1,En pareja,Super clean and modern. Very friendly staff. The bed and pillows were exceptionally comfortable.,11042.0,1,2021-04-29,0.35750000000000004
91,Estados Unidos,Den Room with King Bed,1,Persona que viaja sola,"Clean, safe, convenient location, not a super big hotel, fast elevators, modern decor, great staff",11042.0,1,2021-04-28,0.27142857142857146
92,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En familia,It was clean and had everything we needed,11042.0,1,2021-04-12,0.3666666666666667
