city_id,city,county,state_id,population,density,latitude,longitude,zips,geometry
4237.0,Wynne,Cross,AR,8352,358.6,35.2322,-90.7897,72396,POINT (-90.78852721545724 35.23135546511519)
4238.0,Abingdon,Washington,VA,8350,400.8,36.709,-81.9713,24210 24211 24212,POINT (-81.96913001059228 36.70898544103116)
4239.0,Ephrata,Grant,WA,8348,307.6,47.3122,-119.5341,98823,POINT (-119.53806035432636 47.312197895586564)
4240.0,Heber,Imperial,CA,8346,2244.6,32.7325,-115.5294,92249,POINT (-115.52095176000039 32.73419458979147)
4241.0,Meridianville,Madison,AL,8344,207.1,34.8729,-86.5722,35773 35750 35759,POINT (-86.57092834927315 34.873848930382046)
4242.0,Beebe,White,AR,8343,318.4,35.0713,-91.8998,72012,POINT (-91.8940316756461 35.0723386705539)
4243.0,Kennedale,Tarrant,TX,8342,487.3,32.6434,-97.2172,76060,POINT (-97.21938570494765 32.64766727553293)
4244.0,Ellsworth,Hancock,ME,8340,40.6,44.5847,-68.4875,04605,POINT (-68.49560797298412 44.585795057111845)
4245.0,Pomona,Atlantic,NJ,8340,1156.3,39.4688,-74.5502,08215 08205,POINT (-74.5515200009079 39.46974109791698)
4246.0,Princeton,Gibson,IN,8337,587.9,38.3553,-87.5784,47670,POINT (-87.56923040424253 38.35572382885143)
4247.0,Aberdeen,Moore,NC,8333,308.2,35.135,-79.4326,28315,POINT (-79.42113206936452 35.13965717090759)
4248.0,Hondo,Medina,TX,8332,320.1,29.3531,-99.1616,78861,POINT (-99.1586163795894 29.3565570450798)
4249.0,Winnemucca,Humboldt,NV,8325,329.0,40.9645,-117.7247,89445,POINT (-117.72669442255886 40.968187833207566)
4250.0,Denison,Crawford,IA,8323,490.9,42.0162,-95.3528,51442,POINT (-95.3492165578247 42.018285960144226)
4251.0,Brazil,Clay,IN,8320,871.3,39.5226,-87.124,47834,POINT (-87.12337332904715 39.523621943561054)
4252.0,Trinidad,Las Animas,CO,8318,342.2,37.1751,-104.4908,81082,POINT (-104.50620087888747 37.168563847511045)
4253.0,Runnemede,Camden,NJ,8316,1565.5,39.8522,-75.074,08078,POINT (-75.07473190904095 39.851563615722796)
4254.0,Whitehouse,Smith,TX,8316,584.2,32.2222,-95.221,75791,POINT (-95.21980108686708 32.226180532224035)
4255.0,St. Marys,Auglaize,OH,8311,687.4,40.5476,-84.3926,45885,POINT (-84.39081788159345 40.54397653415297)
4256.0,Berkeley,St. Louis,MO,8310,646.8,38.7439,-90.3361,63134,POINT (-90.3357216717936 38.74335191023025)
4257.0,Castle Shannon,Allegheny,PA,8307,2007.4,40.3664,-80.0194,15234,POINT (-80.01997428342615 40.36636949856769)
4258.0,Mason,Ingham,MI,8307,627.6,42.5806,-84.4427,48854,POINT (-84.44387247140877 42.58173598952888)
4259.0,Rolling Hills Estates,Los Angeles,CA,8305,896.5,33.7783,-118.3509,90274,POINT (-118.35296604835912 33.78260565160993)
4260.0,Wading River,Suffolk,NY,8304,327.8,40.9464,-72.823,11933 11792,POINT (-72.81944967125922 40.94716231359612)
4261.0,Lake Geneva,Walworth,WI,8300,467.0,42.5824,-88.4281,53147,POINT (-88.4297346724886 42.588663960798215)
4262.0,Elwood,Madison,IN,8295,807.2,40.2738,-85.8374,46036,POINT (-85.83891311401372 40.27576499802384)
4263.0,Butner,Granville,NC,8295,228.3,36.1285,-78.7501,27522 27509,POINT (-78.77014124111402 36.13533971368168)
4264.0,Shelby,Richland,OH,8294,507.3,40.8847,-82.6578,44875,POINT (-82.66138501905264 40.88211732478836)
4265.0,Mount Rainier,Prince George's,MD,8290,5024.2,38.9423,-76.9645,20712,POINT (-76.96369630030141 38.94159409089667)
4266.0,Croton-on-Hudson,Westchester,NY,8289,681.9,41.2005,-73.9001,10520,POINT (-73.89029237831471 41.20329768630661)
4267.0,Bellevue,Allegheny,PA,8287,3169.0,40.4945,-80.055,15202,POINT (-80.05570325078503 40.493968724974664)
4268.0,Hillside,Cook,IL,8286,1010.0,41.8675,-87.9019,60162,POINT (-87.89866462872345 41.8709976804179)
4269.0,Hornell,Steuben,NY,8284,975.6,42.3333,-77.6633,14843,POINT (-77.66025251157146 42.32443289948874)
4270.0,Wytheville,Wythe,VA,8260,220.1,36.953,-81.0881,24382,POINT (-81.08683114865886 36.9537994076757)
4271.0,Long Grove,Lake,IL,8258,257.4,42.1967,-88.0058,60047,POINT (-88.0029156774963 42.195412705694736)
4272.0,Dormont,Allegheny,PA,8255,4191.6,40.3941,-80.0377,15216,POINT (-80.03732299223606 40.39310233578699)
4273.0,Mukwonago,Waukesha,WI,8255,396.8,42.857,-88.3269,53149,POINT (-88.33130903707212 42.866349590055776)
4274.0,Oberlin,Lorain,OH,8253,647.1,41.286,-82.2198,44074,POINT (-82.21656356546967 41.290449937348505)
4275.0,Orono,Hennepin,MN,8252,200.2,44.9657,-93.5908,55391 55356 55323,POINT (-93.58696582377267 44.9651630446107)
4276.0,Mount Joy,Lancaster,PA,8251,1321.4,40.1106,-76.5065,17552,POINT (-76.50754658281117 40.110545741860214)
4277.0,Franklin,Franklin,VA,8249,384.8,36.6831,-76.9386,23851,POINT (-76.93565027174319 36.68095469184041)
4278.0,Johnstown,Fulton,NY,8247,660.6,43.0073,-74.3755,12095,POINT (-74.37396529836249 43.00856117190883)
4279.0,Waite Park,Stearns,MN,8245,252.1,45.5313,-94.2528,56387 56301 56388 56399,POINT (-94.22383352497373 45.552465957280674)
4280.0,Altoona,Eau Claire,WI,8244,670.8,44.8029,-91.4385,54720 54701,POINT (-91.44215816085735 44.80501027287033)
4281.0,Brookhaven,Delaware,PA,8243,1862.8,39.8715,-75.3918,19015,POINT (-75.39091517163783 39.87066212471029)
4282.0,Murphy,Jefferson,MO,8241,823.6,38.4922,-90.4856,63049 63026,POINT (-90.4865447699061 38.492954284834944)
4283.0,Oradell,Bergen,NJ,8236,1318.7,40.9562,-74.0314,07649,POINT (-74.0306100066062 40.95514823028292)
4284.0,Applewood,Jefferson,CO,8236,782.3,39.7523,-105.1604,80401,POINT (-105.1628383100934 39.74722926486161)
4285.0,Eden Isle,St. Tammany,LA,8233,1046.8,30.2268,-89.8043,70458,POINT (-89.79877050952703 30.228487543176545)
4286.0,Oak Hill,Fayette,WV,8228,326.0,37.9844,-81.1277,25879 25840 25901,POINT (-81.14753581505323 37.98206949274723)
4287.0,Oak Grove,Jackson,MO,8228,495.6,39.0075,-94.1282,64075,POINT (-91.15138902012261 38.22693526780067)
4288.0,Oak Grove,Jackson,MO,8228,495.6,39.0075,-94.1282,64075,POINT (-94.1259512206445 39.00350734195353)
4289.0,Liberty,Liberty,TX,8227,71.3,30.0378,-94.7879,77575 77535,POINT (-94.79788657545369 30.046232532187354)
4290.0,Gilberts,Kane,IL,8220,578.2,42.1097,-88.3715,60118 60136,POINT (-88.36728147298524 42.1016752481115)
4291.0,Maplewood,St. Louis,MO,8220,2028.0,38.6121,-90.324,63143,POINT (-90.32443546091218 38.612202151264306)
4292.0,Minnetrista,Hennepin,MN,8215,121.5,44.9356,-93.7107,55331 55364 55375 55359,POINT (-93.70345207648558 44.94251270405051)
4293.0,Wilson,Northampton,PA,8215,2745.4,40.6844,-75.2407,18042,POINT (-75.23969263950526 40.685348623411436)
4294.0,Wilmington Manor,New Castle,DE,8212,1940.2,39.6858,-75.5849,19720,POINT (-75.58441635500519 39.685612780842945)
4295.0,Hood River,Hood River,OR,8210,1220.8,45.7092,-121.526,97031,POINT (-121.52311943926838 45.70968304281599)
4296.0,Cushing,Payne,OK,8201,416.9,35.9794,-96.7609,74023,POINT (-96.76178710395014 35.979513165035705)
4297.0,Bellevue,Huron,OH,8201,516.8,41.2745,-82.8403,44811,POINT (-82.84209961629264 41.27580860578685)
4298.0,Cuero,DeWitt,TX,8200,482.3,29.1023,-97.2871,77954,POINT (-97.28766886637979 29.09433608124833)
4299.0,Scott,Lafayette,LA,8200,269.8,30.2398,-92.0948,70583 70507 70506,POINT (-92.09062166594482 30.237891224346424)
4300.0,Providence,Cache,UT,8199,771.9,41.7035,-111.8123,84332,POINT (-111.8142130302474 41.70508756327226)
4301.0,Stayton,Marion,OR,8199,1023.7,44.8034,-122.7984,97383,POINT (-122.79742402614443 44.80164823421566)
4302.0,Brentwood,St. Louis,MO,8198,1620.6,38.6194,-90.3475,63144,POINT (-90.34871517164669 38.61910221881733)
4303.0,Mayo,Anne Arundel,MD,8197,563.2,38.9042,-76.5179,21037 21106,POINT (-76.50008163253915 38.89179719575841)
4304.0,Hillsdale,Hillsdale,MI,8196,555.8,41.9267,-84.6356,49242,POINT (-84.635688860499 41.92583616803759)
4305.0,Moundsville,Marshall,WV,8195,1088.6,39.9221,-80.7422,26041,POINT (-80.74158923901254 39.92285077955835)
4306.0,Austell,Cobb,GA,8194,531.5,33.8201,-84.6451,30111 30106 30168,POINT (-84.64286612274209 33.82210566142617)
4307.0,Hillsboro,Hill,TX,8193,291.0,32.0093,-97.115,76645,POINT (-97.11586236876795 32.00752340206838)
4308.0,Price,Carbon,UT,8192,628.3,39.604,-110.8003,84501,POINT (-110.8020004955718 39.60163003220975)
4309.0,Glastonbury Center,Capitol,CT,8187,638.2,41.7016,-72.6002,06033,POINT (-72.59949765866659 41.70096654539819)
4310.0,Iowa Colony,Brazoria,TX,8187,334.9,29.4407,-95.4206,77583,POINT (-95.41560700463565 29.44296344168857)
4311.0,Dayton,Middlesex,NJ,8185,1312.7,40.3768,-74.5112,08810,POINT (-74.50985101581529 40.38270679578148)
4312.0,Green,Douglas,OR,8182,693.5,43.1509,-123.3854,97471,POINT (-123.38340481759909 43.14905037322688)
4313.0,Oak Brook,DuPage,IL,8178,395.9,41.8373,-87.9516,60523 60522,POINT (-87.95273445211141 41.83693044130489)
4314.0,Rhinelander,Oneida,WI,8177,375.0,45.6358,-89.4261,54501,POINT (-89.41208698944904 45.6395150645951)
4315.0,Laughlin,Clark,NV,8174,193.1,35.1401,-114.6206,89029 89028,POINT (-114.62779111723768 35.15070915777724)
4316.0,Jefferson City,Jefferson,TN,8173,452.4,36.1201,-83.4829,37760,POINT (-83.48746582595977 36.11909497636877)
4317.0,Orland,Glenn,CA,8168,1051.8,39.7461,-122.1856,95963,POINT (-122.18832271040779 39.74560541547347)
4318.0,Hampton,Henry,GA,8166,373.3,33.3774,-84.2969,30228,POINT (-84.28514684798112 33.384491446716694)
4319.0,Fern Park,Seminole,FL,8164,1571.8,28.6485,-81.3458,32751 32730,POINT (-81.34560056256227 28.648476000758418)
4320.0,Spotswood,Middlesex,NJ,8163,1362.8,40.3949,-74.392,08884,POINT (-74.39011119598429 40.39402325294383)
4321.0,Pulaski,Giles,TN,8163,419.9,35.1933,-87.035,38478,POINT (-87.03433108620142 35.195770145377345)
4322.0,Corning,Tehama,CA,8156,887.8,39.9283,-122.1819,96021,POINT (-122.18310108679039 39.92621734443723)
4323.0,Ketchikan,Ketchikan Gateway,AK,8150,824.8,55.3556,-131.6698,99901 99950,POINT (-131.66126777643922 55.35216828467642)
4324.0,Hatboro,Montgomery,PA,8150,2213.3,40.1775,-75.1055,19040,POINT (-75.1044115181275 40.17765895650794)
4325.0,Sheboygan Falls,Sheboygan,WI,8147,573.3,43.729,-87.8266,53085,POINT (-87.82271269725868 43.72974495870371)
4326.0,Prien,Calcasieu,LA,8147,590.0,30.1601,-93.2611,70605,POINT (-93.26775430928713 30.166557657179688)
4327.0,Milan,Gibson,TN,8143,352.1,35.9126,-88.7554,38358,POINT (-88.75462389237887 35.91898034967956)
4328.0,Kenwood,Hamilton,OH,8143,1301.5,39.2066,-84.375,45242 45243 45236,POINT (-84.37407191008859 39.205657968962285)
4329.0,Alliance,Box Butte,NE,8141,642.3,42.1025,-102.8766,69301,POINT (-102.87440734223004 42.10033968963115)
4330.0,North Patchogue,Suffolk,NY,8138,1592.5,40.7833,-73.0234,11772,POINT (-73.02400175835588 40.784482330265796)
4331.0,Guadalupe,Santa Barbara,CA,8138,2397.7,34.9609,-120.5735,93434,POINT (-120.57568616574626 34.96348645143902)
4332.0,Bellwood,Chesterfield,VA,8138,542.0,37.406,-77.4363,23237,POINT (-77.43652965890718 37.40731533365098)
4333.0,Kirby,Bexar,TX,8134,1570.2,29.4614,-98.3855,78219,POINT (-98.38594140183311 29.460232102384893)
4334.0,Thompsonville,Capitol,CT,8134,1543.0,41.9915,-72.5965,06082,POINT (-72.59590724352718 41.990896346483254)
4335.0,Parkville,York,PA,8131,1077.2,39.7859,-76.9686,17331,POINT (-76.96718926273397 39.783008296626086)
4336.0,Irondale,Clayton,GA,8127,994.3,33.4773,-84.3601,30238,POINT (-84.35883095002707 33.480546250622105)
4337.0,Clinton,Sampson,NC,8124,411.1,35.0004,-78.3313,28328 28329,POINT (-78.3314986962608 35.00034957325517)
4338.0,Milliken,Weld,CO,8122,244.7,40.3115,-104.8561,80543 80651 80534,POINT (-104.85327282079714 40.316582514888445)
4339.0,Union,Union,SC,8119,392.9,34.7235,-81.6248,29379,POINT (-81.62363090421869 34.72293044034018)
4340.0,Maryville,Madison,IL,8115,551.2,38.7264,-89.9647,62062,POINT (-89.96485086677903 38.72641528952343)
4341.0,Camp Hill,Cumberland,PA,8115,1474.4,40.2422,-76.9274,17011 17001 17089,POINT (-76.92647759233037 40.24258952199342)
4342.0,Dock Junction,Glynn,GA,8111,333.5,31.2031,-81.5155,31523 31520,POINT (-81.5167453903616 31.202381336763043)
4343.0,Nevada,Vernon,MO,8111,348.5,37.8445,-94.3492,64772,POINT (-94.35317844396744 37.84120647039291)
4344.0,Groesbeck,Hamilton,OH,8110,1067.5,39.229,-84.5959,45247 45251 45239,POINT (-84.5942295484939 39.22885832438221)
